Wavelength(nm),raw_data
    513.0000000,      541.5384521484375000
    514.0000000,      549.2307739257812500
    515.0000000,      559.6153564453125000
    516.0000000,      569.8531494140625000
    517.0000000,      578.2447509765625000
    518.0000000,      589.8181762695312500
    519.0000000,      601.0349731445312500
    520.0000000,      611.4895019531250000
    521.0000000,      621.2797241210937500
    522.0000000,      631.4583129882812500
    523.0000000,      641.6363525390625000
    524.0000000,      650.7272949218750000
    525.0000000,      661.9160766601562500
    526.0000000,      673.3566284179687500
    527.0000000,      683.8461303710937500
    528.0000000,      693.7132568359375000
    529.0000000,      704.1468505859375000
    530.0000000,      715.2937011718750000
    531.0000000,      725.0839233398437500
    532.0000000,      735.2937011718750000
    533.0000000,      745.6643066406250000
    534.0000000,      755.4545288085937500
    535.0000000,      765.1944580078125000
    536.0000000,      774.9370727539062500
